Feature_Number,Avg_NDCG@10,Std_NDCG@10,Best_NDCG@10,Avg_MAP@10,Std_MAP@10,Best_MAP@10
1,0.863095238,0,0.863095238,0.75971817,0,0.75971817
2,0.757676522,0.129120254,0.863095238,0.595426928,0.201237784,0.75971817
3,0.560679249,0.048402951,0.597108333,0.320799778,0.034189019,0.348079015
4,0.497097277,0.048788076,0.594629478,0.278389069,0.035066777,0.348079015
5,0.474940438,0.000979766,0.47662831,0.261226147,0.00491561,0.268814859
6,0.501017516,0.049978473,0.600968227,0.283321622,0.037513789,0.358136228
7,0.477520648,0.000941796,0.47861276,0.26655102,0.003362113,0.270547762
8,0.4785828,0.0008518,0.479926467,0.266075591,0.002432194,0.267941754
9,0.479282988,0.001043197,0.480900748,0.267561336,0.00472824,0.274960651
10,0.479307324,0.000550454,0.479944568,0.268383376,0.005305245,0.276238305
11,0.480329273,0.000664695,0.481594088,0.267013669,0.003394271,0.272728261
12,0.482057064,0.000432003,0.482809876,0.266765121,0.003724356,0.274007492
13,0.482770417,0.001134299,0.484194875,0.270306293,0.003212625,0.276224815
14,0.477775807,0.001209867,0.479302582,0.26795066,0.002445384,0.271690391
15,0.475752445,0.00129562,0.478291539,0.263647042,0.003085531,0.268784864
16,0.476406082,0.002569294,0.479602659,0.264984736,0.003328797,0.269986961
17,0.477915331,0.001550503,0.479508749,0.264413717,0.003397476,0.268824926
18,0.477884646,0.002240487,0.480948855,0.265337858,0.002087283,0.269305911
19,0.478167243,0.00206367,0.481579467,0.265571013,0.001875237,0.268863956
20,0.476791897,0.000934196,0.478295238,0.265527737,0.003027247,0.269214729
21,0.47363031,0.000523861,0.474253729,0.263378761,0.002563904,0.267342686
22,0.475674686,0.001484354,0.477070606,0.265791081,0.005111614,0.273790783
23,0.475397458,0.002115589,0.478486065,0.267373618,0.003328257,0.272820405
24,0.475248192,0.002683336,0.478497815,0.264881759,0.002607604,0.267150623
25,0.477157955,0.001826951,0.479412077,0.268418468,0.00324837,0.272381403
26,0.476811835,0.001060844,0.478574137,0.265456767,0.001458886,0.267017198
27,0.474815419,0.001532963,0.476542543,0.267718071,0.00350304,0.272545661
28,0.477043787,0.000507541,0.477799297,0.265039271,0.002873704,0.270243489
29,0.477730648,0.000947446,0.478880103,0.266286794,0.002791785,0.269643553
30,0.477393954,0.001236621,0.479527079,0.267624176,0.00188431,0.269907034
31,0.477170358,0.001370631,0.479476776,0.268126474,0.003872462,0.271813804
32,0.478377903,0.000836839,0.479207487,0.266450802,0.003627304,0.271346942
33,0.478618231,0.000477642,0.479014402,0.267633323,0.002802911,0.270901226
34,0.474648734,0.001014904,0.476651706,0.267129992,0.003530046,0.271154423
35,0.475042317,0.001732775,0.477576667,0.264681523,0.006048698,0.27437578
36,0.475793161,0.00116165,0.47702445,0.26922093,0.003693392,0.274152477
37,0.474533831,0.002057414,0.478260153,0.264564613,0.007240652,0.276613326
38,0.474902207,0.001811076,0.476747083,0.263106507,0.002155122,0.26638658
39,0.473602985,0.002219365,0.477503349,0.265727465,0.003082889,0.270688083
40,0.471569207,0.000875945,0.473021342,0.265317953,0.004494598,0.272577206
41,0.472590238,0.001142385,0.473939138,0.262602362,0.001604211,0.264757512
42,0.470710641,0.002027134,0.473201256,0.262709581,0.003303346,0.267194869
43,0.470984433,0.001573531,0.473935298,0.263945585,0.002994096,0.268131136
44,0.469950386,0.002487474,0.473935298,0.261392404,0.003770391,0.265100453
45,0.470733161,0.001153805,0.47164685,0.263542741,0.001221548,0.265951082
