Feature_Number,n1s1_avg,n1s1_std,n1s2_avg,n1s2_std,n1s3_avg,n1s3_std,n2s1_avg,n2s1_std,n2s2_avg,n2s2_std,n2s3_avg,n2s3_std
1,0.950972175,0.147083475,1,0,1,0,0.643791497,0.295147208,0.585044491,0.277047516,0.774738828,0.281515148
2,0.626295524,0.252627178,0.667230614,0.278929093,0.602307622,0.262677275,0.407196405,0.099980344,0.399154556,0.044157483,0.456887159,0.194819618
3,0.799681339,0.205117046,0.883696767,0.179985191,1,0,0.563682471,0.175211506,0.540538904,0.086983096,0.579006628,0.178112567
4,0.561255641,0.175116862,0.701843051,0.160144231,0.858613572,0.178234735,0.499511115,0.086393708,0.497551746,0.084736506,0.527213262,0.121157089
5,0.526494745,0.105407569,0.540675593,0.167453115,0.628891424,0.214265706,0.437730386,0.061042122,0.448446297,0.072316871,0.479863133,0.083023817
6,0.445508539,0.055784181,0.462630147,0.080360318,0.524464235,0.111604679,0.434759611,0.052964905,0.419241493,0.035364998,0.406763309,0.022536269
7,0.426595415,0.050463039,0.4391812,0.079473509,0.473777597,0.089377882,0.398721638,0.008538409,0.402730829,0.015135202,0.407413288,0.030277763
8,0.402449913,0.008955359,0.413745178,0.018028817,0.405011945,0.006149613,0.406114337,0.016651848,0.410288358,0.015886981,0.401162685,0.011574113
9,0.399780637,0.014237572,0.402337659,0.016396863,0.408339564,0.014280695,0.415910219,0.051919594,0.401555409,0.012019922,0.399768821,0.01341665
10,0.39864438,0.007073009,0.395417766,0.012213556,0.400700417,0.009639083,0.405719018,0.019574309,0.39761382,0.010216185,0.408436995,0.033061059
11,0.397070028,0.012242181,0.394513253,0.00648983,0.394248304,0.011047711,0.394649488,0.008980058,0.40006383,0.010952254,0.399048324,0.009265251
12,0.396428739,0.008192878,0.403614762,0.008038363,0.400953913,0.010774064,0.397983853,0.006910132,0.394556583,0.008883051,0.399818368,0.008860443
13,0.393486282,0.008074398,0.394660417,0.009122252,0.397514804,0.008650341,0.396308268,0.005473195,0.392344392,0.004894536,0.399041464,0.009411823
14,0.401273718,0.009845573,0.396745831,0.007138925,0.4024532,0.011535367,0.392279652,0.012381243,0.39446149,0.008813097,0.393238752,0.007522091
15,0.40856424,0.006160494,0.407658271,0.010038251,0.410688216,0.007460708,0.401465021,0.00996914,0.399575461,0.006298537,0.398258896,0.010754682
16,0.40744907,0.00608459,0.404308909,0.007484556,0.408629538,0.008880534,0.402608489,0.008349768,0.403188339,0.007195986,0.403865789,0.009156486
17,0.408471978,0.006343236,0.405506722,0.007375217,0.406404764,0.011071185,0.398860469,0.007642733,0.39848748,0.008021832,0.40196821,0.010021832
18,0.401873943,0.004343438,0.403048707,0.007959921,0.407026714,0.009507477,0.405157841,0.009149714,0.40058491,0.011290287,0.404128578,0.008036671
19,0.405088964,0.009575468,0.4055353,0.006139993,0.405124269,0.011134596,0.403617975,0.004349317,0.401607741,0.00686117,0.399362521,0.005548087
20,0.408644005,0.007434663,0.404170551,0.007118592,0.407225681,0.005203342,0.40655803,0.009161398,0.399006221,0.006766354,0.402918829,0.008123176
21,0.407094349,0.00430095,0.403325358,0.006361386,0.404049125,0.012469446,0.402655326,0.009850361,0.398469942,0.006375374,0.400034217,0.008632103
22,0.404272512,0.007772707,0.393956378,0.005708381,0.398382283,0.00692924,0.401832151,0.006357332,0.396098112,0.006879541,0.401568925,0.005927962
23,0.399321767,0.007720297,0.398690215,0.006920513,0.404221884,0.006734578,0.400822646,0.006764382,0.397843059,0.003772114,0.398343341,0.008112678
24,0.399568652,0.007696597,0.402385802,0.005235152,0.399481904,0.012929062,0.398019632,0.003809515,0.399282327,0.005839725,0.396650434,0.008078588
25,0.396053961,0.009835034,0.397902704,0.006686062,0.402436379,0.008920895,0.399189046,0.008330836,0.397210846,0.008989296,0.400855662,0.004483951
26,0.397697005,0.005920085,0.400083375,0.005303325,0.397583396,0.009130479,0.393544436,0.006087131,0.395905153,0.006882456,0.395128352,0.010829291
27,0.398284513,0.006266559,0.394661612,0.006729646,0.401459032,0.006613085,0.396845502,0.006522203,0.397723834,0.005834129,0.40122406,0.007330919
28,0.399811462,0.007978918,0.39505564,0.007726666,0.395850654,0.008594936,0.396659506,0.004393639,0.391334578,0.005248123,0.390657513,0.004706898
29,0.396081656,0.008409601,0.396867033,0.007613927,0.394288108,0.005351113,0.394575558,0.006488984,0.394799326,0.00628152,0.39351815,0.007335231
30,0.38787499,0.005054927,0.387858562,0.007704748,0.393521761,0.006211682,0.386401298,0.004856154,0.388797598,0.006092202,0.390477165,0.006211131
31,0.386089175,0.006462756,0.385193517,0.009013475,0.389140618,0.00806369,0.390899756,0.007502852,0.384494777,0.006832235,0.383077952,0.007021168
32,0.383260088,0.004725106,0.384134778,0.007546481,0.386720159,0.007632491,0.383522571,0.005016376,0.385170987,0.005035551,0.385663527,0.006341268
33,0.386756956,0.008482667,0.385146615,0.004068163,0.387890738,0.007075542,0.383043297,0.005205366,0.384564696,0.005391505,0.386405422,0.006250911
34,0.384469463,0.002451826,0.385216556,0.007009673,0.385979477,0.009679335,0.384257226,0.005658754,0.387097308,0.007899804,0.384857247,0.004530254
35,0.38149992,0.006065806,0.381992431,0.004006272,0.385905009,0.008044112,0.384502862,0.009778227,0.384529825,0.009371406,0.388302813,0.005273798
