Feature_Number,n1s1_avg,n1s1_std,n1s2_avg,n1s2_std,n1s3_avg,n1s3_std,n2s1_avg,n2s1_std,n2s2_avg,n2s2_std,n2s3_avg,n2s3_std
1,0.114391077,0.087216288,0.300241671,0.229268746,0.318046547,0.263889214,0.428284083,0.285816057,0.21961198,0.211957208,0.261974762,0.233810714
2,0.23430094,0.070221794,0.320010873,0.111536586,0.259502802,0.060747304,0.170710456,0.094864797,0.247003405,0.143722913,0.213902607,0.082776873
3,0.3499726,0.082448956,0.287919719,0.044157414,0.286400376,0.072332596,0.30337573,0.096840503,0.287990265,0.048603552,0.275186482,0.048045703
4,0.288520779,0.044220424,0.322832806,0.046184363,0.323906957,0.039434442,0.267415271,0.036041778,0.284485341,0.06276423,0.267596466,0.046890107
5,0.324989792,0.036968568,0.316857844,0.047544444,0.366952236,0.044141978,0.296056544,0.058142462,0.328692213,0.033457433,0.302230493,0.043988108
6,0.325114749,0.017756327,0.345255462,0.024139995,0.345513304,0.042204587,0.326760448,0.029372033,0.309222462,0.037196555,0.325038418,0.021694222
7,0.365501886,0.03681664,0.351795079,0.04910787,0.374613193,0.032697312,0.3340187,0.026039672,0.342431555,0.028200177,0.34377998,0.079860952
8,0.3421759,0.040258632,0.360530503,0.038909659,0.379384343,0.035476103,0.326688866,0.036332836,0.324175762,0.048612402,0.333851663,0.043370744
9,0.364238804,0.033557157,0.338367136,0.019522692,0.395316337,0.037731381,0.362745952,0.030871878,0.36392461,0.033285441,0.365774122,0.028535179
10,0.35229691,0.04558791,0.379793149,0.031714943,0.381739469,0.046805861,0.362599141,0.04203842,0.368536565,0.053086867,0.359514957,0.052201265
11,0.38059127,0.036128628,0.392679338,0.038608664,0.40426491,0.058653639,0.343764169,0.040948605,0.37515329,0.033949447,0.375836615,0.044217185
12,0.375739251,0.034388032,0.362425206,0.027090817,0.396227244,0.034644467,0.345173059,0.040650899,0.355217102,0.03519131,0.39776136,0.032966092
13,0.389170973,0.036306911,0.375859872,0.035791234,0.397246533,0.04288389,0.353178611,0.039342066,0.371555708,0.042864929,0.342985323,0.03913647
14,0.377646418,0.038146848,0.372941476,0.037855773,0.416004477,0.038418103,0.369397527,0.040476041,0.330877853,0.028280938,0.349863361,0.026050216
15,0.360809956,0.035044508,0.35499065,0.032107871,0.359088112,0.040166913,0.349431573,0.028335633,0.370006425,0.030147495,0.360428753,0.041153792
16,0.364546918,0.028954921,0.370671129,0.038618238,0.388090096,0.054852441,0.385874564,0.030062824,0.351133507,0.033740508,0.380129782,0.038082482
17,0.375629931,0.035032357,0.363600823,0.039288832,0.372092822,0.050153087,0.369087672,0.034423659,0.355861304,0.033307975,0.369406128,0.046390194
18,0.3627284,0.049215381,0.349031037,0.028066261,0.366053481,0.031386193,0.354827119,0.031833069,0.345141055,0.035812485,0.371169886,0.050092157
19,0.374971913,0.036584708,0.362022985,0.044092421,0.387113142,0.03379636,0.372054829,0.047578154,0.337376374,0.027354237,0.361137217,0.042416008
20,0.35280476,0.03164457,0.341714962,0.028006205,0.367830681,0.029485048,0.35179288,0.03233396,0.35830408,0.038063821,0.360177543,0.038137719
21,0.354988575,0.034088019,0.359458624,0.033168512,0.354278941,0.033329024,0.34099686,0.0265235,0.334152771,0.016373332,0.342711531,0.032013152
22,0.350654457,0.034661092,0.353007689,0.036619701,0.362755113,0.034061508,0.359804454,0.023007643,0.347950847,0.019728249,0.354268602,0.023775857
23,0.349475733,0.029971969,0.338900274,0.016565579,0.341541223,0.017006253,0.335528741,0.016356432,0.337668029,0.032887517,0.339703137,0.015807427
24,0.333907891,0.023712132,0.335668015,0.026592107,0.345747591,0.020797741,0.351983404,0.025093451,0.329709576,0.023880252,0.331919948,0.017822144
25,0.323470547,0.011858296,0.337191065,0.031544205,0.356468185,0.035084747,0.344574387,0.023816624,0.337265175,0.014688,0.346899202,0.020820868
26,0.337095972,0.020200524,0.337691443,0.019998706,0.349104537,0.021440991,0.330284428,0.010635539,0.327645568,0.018488466,0.324751523,0.007899076
27,0.341100275,0.029981725,0.337174247,0.0138786,0.343049734,0.017545239,0.328334983,0.006586593,0.324316519,0.011750432,0.339981612,0.020516206
28,0.334407651,0.02047262,0.332514852,0.013784415,0.332659893,0.016934921,0.331796438,0.011119461,0.332864291,0.018608788,0.335146447,0.02139926
29,0.331871112,0.012395837,0.340251101,0.037871732,0.321610384,0.008769925,0.323956843,0.018759332,0.330379982,0.016269627,0.331160075,0.01038656
30,0.335778257,0.013197718,0.323366319,0.010524155,0.332544901,0.015709615,0.319888347,0.011672672,0.321536201,0.020577039,0.324305763,0.009109406
31,0.326654228,0.009219869,0.323639637,0.006135789,0.336766414,0.007766629,0.329872369,0.015341069,0.330052107,0.010980687,0.325811097,0.010673524
32,0.322317097,0.009287163,0.329099639,0.006171773,0.326321116,0.005407801,0.326634325,0.012874648,0.326523072,0.011718487,0.324256457,0.007574775
33,0.323712854,0.009057775,0.32291175,0.0135828,0.330987877,0.0049721,0.327229188,0.009729565,0.322072272,0.004734863,0.333286492,0.022897167
34,0.325576988,0.006227424,0.32180847,0.010376269,0.326698911,0.009117809,0.320244237,0.006896715,0.323479105,0.006846057,0.324272894,0.007688377
35,0.325675904,0.008336303,0.324685396,0.008122586,0.328062678,0.009699602,0.326664733,0.00912823,0.321854639,0.00827859,0.318865101,0.006909337
36,0.322041925,0.012048572,0.320754201,0.006983361,0.32465115,0.007651835,0.320680003,0.005254029,0.319043404,0.006276999,0.324847466,0.006521316
