Feature_Number,n1s1_avg,n1s1_std,n1s2_avg,n1s2_std,n1s3_avg,n1s3_std,n2s1_avg,n2s1_std,n2s2_avg,n2s2_std,n2s3_avg,n2s3_std
1,0.64290617,0.061784057,0.638188681,0.069778298,0.6555203,0.052669871,0.545241131,0.118441875,0.538381564,0.071713998,0.562905293,0.076795567
2,0.509666003,0.029511014,0.523255742,0.058525373,0.548135284,0.083556312,0.456198079,0.03098771,0.46802607,0.041508404,0.469499944,0.026705115
3,0.547010929,0.06617822,0.556361388,0.077997223,0.578833455,0.078998215,0.498194558,0.016588379,0.501293404,0.02111237,0.483548896,0.021455866
4,0.496689439,0.00527067,0.506100658,0.016923652,0.498260756,0.002474897,0.492256737,0.006349015,0.494574815,0.00584672,0.50024895,0.014115309
5,0.497601033,0.002791241,0.497313948,0.00287765,0.498107171,0.001991642,0.495119971,0.00403591,0.496523022,0.005028036,0.497239527,0.002869884
6,0.498671835,0.002733686,0.499669132,0.003609859,0.497481223,0.003387486,0.49596369,0.003498901,0.497346627,0.003198824,0.498109686,0.003651196
7,0.497832271,0.003213479,0.498130931,0.00352335,0.499788394,0.003714208,0.4970789,0.004804062,0.49686129,0.00182821,0.497114321,0.003861369
8,0.49734343,0.003665825,0.496943487,0.002665901,0.499723401,0.002938198,0.49857777,0.002804147,0.497587444,0.003346815,0.497961829,0.001745845
9,0.496791606,0.004458388,0.497788676,0.003550268,0.497975602,0.00331595,0.498115638,0.002131134,0.498166901,0.002138519,0.49703188,0.002373366
10,0.50007429,0.001905098,0.499354548,0.002510824,0.498003104,0.002256246,0.498549218,0.001870605,0.49749992,0.001617657,0.498533153,0.003393314
11,0.498539975,0.002374296,0.499251751,0.003055556,0.500569702,0.003515024,0.498569643,0.002908856,0.498855696,0.001825772,0.498456538,0.001948451
12,0.498369397,0.002633815,0.499854223,0.003276633,0.500139493,0.002247584,0.497744823,0.001195134,0.497392213,0.002006148,0.496443745,0.002427805
13,0.499862101,0.002936973,0.498295271,0.002180476,0.499525977,0.002124698,0.497532781,0.001987563,0.49808152,0.002552867,0.497751891,0.001062997
14,0.499710689,0.002116437,0.499140644,0.002613225,0.499553138,0.002324605,0.498874611,0.003027681,0.498891473,0.002133659,0.498110212,0.002183135
15,0.498940563,0.002948369,0.49705415,0.001609775,0.501278869,0.002217713,0.500297003,0.001993224,0.498858973,0.002536665,0.498569812,0.00261454
16,0.503180854,0.002269651,0.502392391,0.002798236,0.502947275,0.002638116,0.502022543,0.002546026,0.500484293,0.001912007,0.502040113,0.002162658
17,0.502825571,0.002978132,0.5013393,0.001549892,0.503560265,0.002935284,0.50175516,0.002327566,0.501784573,0.00197458,0.502403543,0.002173342
