Feature_Number,Avg_NDCG@10,Std_NDCG@10,Best_NDCG@10,Avg_MAP@10,Std_MAP@10,Best_MAP@10
1,0.259204671,0.049703054,0.315506051,0.203422913,0.043043481,0.265992768
2,0.356477397,0.023584999,0.390693446,0.274835685,0.057301443,0.324793369
3,0.43003896,0.017506409,0.453400631,0.270825006,0.041682221,0.336829959
4,0.430038841,0.023279001,0.460155134,0.300642082,0.056091836,0.376014119
5,0.470077189,0.008908605,0.482688239,0.358843923,0.032494496,0.404623955
6,0.486148615,0.008791424,0.498861962,0.373481019,0.027448447,0.417840706
7,0.501048776,0.011027456,0.518044047,0.390767772,0.035649937,0.440546004
8,0.513642482,0.019618856,0.542523391,0.399280666,0.040712762,0.440268721
9,0.503093341,0.006807116,0.512050619,0.380883431,0.020738375,0.419636987
10,0.520038274,0.006790954,0.52724843,0.438643288,0.014205247,0.4570595
11,0.529949837,0.008807709,0.539591914,0.450260704,0.029883875,0.482377078
12,0.532585497,0.008161535,0.542234505,0.445041452,0.039439845,0.497687142
13,0.522709771,0.014227018,0.544163404,0.431912972,0.035976763,0.477646285
14,0.511326181,0.01267267,0.529062455,0.387447629,0.048132602,0.47299147
15,0.52680803,0.014514416,0.540040557,0.430645344,0.03869282,0.476521849
16,0.523918627,0.012922177,0.545547757,0.404109021,0.020546698,0.428773363
17,0.523243087,0.012073249,0.546105794,0.439354219,0.025617907,0.481379731
18,0.539889979,0.009453883,0.546787398,0.439994189,0.028532317,0.475800695
19,0.512821366,0.017636979,0.53628784,0.402444049,0.043488054,0.46469428
20,0.506566304,0.011389392,0.522221077,0.383463056,0.015775648,0.399973836
21,0.513077395,0.010320712,0.530409956,0.372443512,0.009585874,0.385793282
22,0.521806896,0.009825327,0.534274472,0.389503381,0.01930867,0.419705668
23,0.516053928,0.0149745,0.537944363,0.402230919,0.040243379,0.469003886
24,0.512583961,0.007539342,0.52453919,0.394594285,0.016740379,0.422772847
25,0.523044281,0.014336406,0.547142899,0.419176654,0.027113895,0.450832394
26,0.512031989,0.017219807,0.537414492,0.403036922,0.041633823,0.472858552
27,0.512881733,0.020102089,0.542460347,0.404834192,0.050683471,0.482302527
28,0.510845398,0.013467826,0.535875034,0.396683321,0.023554403,0.434452193
29,0.5062809,0.004499449,0.51404738,0.385686344,0.025146915,0.423416808
30,0.504411967,0.008595681,0.5191014,0.3925265,0.021563268,0.431036912
31,0.50436351,0.006061283,0.512901931,0.376686164,0.010276579,0.391821053
32,0.513737488,0.017136627,0.547241873,0.397202733,0.030859699,0.457590166
33,0.502164427,0.005913412,0.508855938,0.376830277,0.020195585,0.403701747
34,0.492439329,0.014237071,0.513892733,0.359159505,0.015246495,0.383055086
35,0.4870814,0.011411939,0.497042489,0.365641697,0.016587811,0.385694662
36,0.486340441,0.004592176,0.493536005,0.358927037,0.005994397,0.368705974
37,0.493856541,0.008228288,0.50904336,0.371080871,0.026152997,0.417895886
38,0.486747284,0.007819332,0.492411822,0.36710029,0.009426201,0.378851437
39,0.487085908,0.009665116,0.500705667,0.366331898,0.011793609,0.378710301
40,0.480589909,0.010032748,0.494084366,0.356678877,0.008961647,0.3679857
41,0.48156481,0.008839103,0.495256168,0.347444938,0.034936078,0.371865063
42,0.474871125,0.012131352,0.497517266,0.359045036,0.010199449,0.3733041
43,0.458554195,0.001293973,0.459384213,0.35316802,0.007106116,0.358024267
